text,amount,category
praktek Steam,273549,Pendidikan
air di PDAM,441541,Tagihan
rumah sakit di Shopee,399833,Kesehatan
apotek di PLN,99197,Kesehatan
minimarket via Tokopedia,42881,Belanja
gojek Grab,154648,Transport
cicilan di Telkomsel,440987,Tagihan
martabak untuk Steam,94103,Makan
air XL,117613,Tagihan
ojek di PDAM,59384,Transport
martabak untuk Gojek,18885,Makan
kursus Apotek K24,189009,Pendidikan
netflix XL,24757,Hiburan
modul untuk Apotek K24,482807,Pendidikan
martabak untuk Gojek,73629,Makan
pulsa pascabayar via PLN,694739,Tagihan
ayam geprek di PLN,46235,Makan
kursus di Netflix,506174,Pendidikan
martabak di Netflix,68931,Makan
udemy Telkomsel,296366,Pendidikan
apotek untuk PLN,92375,Kesehatan
modul untuk Alfamart,723044,Pendidikan
sewa di Gojek,537833,Tagihan
ojek di Netflix,77574,Transport
nasi goreng XL,39608,Makan
indomaret via Steam,381282,Belanja
cek lab Shopee,461508,Kesehatan
game via Netflix,125608,Hiburan
sewa via Telkomsel,630726,Tagihan
listrik PDAM,711776,Tagihan
pulsa di Shopee,220396,Belanja
sertifikasi Klinik,859001,Pendidikan
klinik via Shopee,342358,Kesehatan
dokter untuk Shopee,126984,Kesehatan
tokopedia untuk Grab,337887,Belanja
kelas via Steam,138989,Pendidikan
cek lab via Klinik,70944,Kesehatan
taksol untuk PDAM,172040,Transport
nasi goreng Gojek,79351,Makan
udemy via Apotek K24,404704,Pendidikan
kursus untuk Indomaret,79893,Pendidikan
toll via Apotek K24,129009,Transport
cicilan di PDAM,340499,Tagihan
masker untuk Shopee,456931,Kesehatan
kopi susu di Telkomsel,52023,Makan
martabak untuk Telkomsel,44881,Makan
pulsa untuk Apotek K24,327862,Belanja
topup via Steam,82818,Hiburan
gojek Gojek,12134,Transport
fitness untuk Grab,341054,Kesehatan
parkir untuk Grab,34667,Transport
nasi goreng via Indomaret,47448,Makan
netflix Alfamart,135103,Hiburan
ojek untuk Alfamart,142465,Transport
udemy untuk Grab,603680,Pendidikan
modul untuk Telkomsel,525306,Pendidikan
voucher game untuk PDAM,273280,Hiburan
kafe untuk Tokopedia,192849,Hiburan
cek lab Apotek K24,222496,Kesehatan
shopee di Netflix,124239,Belanja
restoran untuk Grab,47155,Makan
sewa Grab,700645,Tagihan
masker via Klinik,268248,Kesehatan
seminar untuk PLN,231421,Pendidikan
grabfood via Gojek,92987,Makan
kursus untuk PLN,389341,Pendidikan
